,제목,링크,정보제공,날짜
27,"
“카카오 사태 사회적 책임...소명 다할 것”
",https://finance.naver.com//item/news_read.naver?article_id=0002075198&office_id=016&code=035720&page=2&sm=title_entity_id.basic,헤럴드경제, 2022.12.07 11:24
28,"
(영상)카카오, 오늘 '먹통 사태' 구체적 원인·재발방지책 발표
",https://finance.naver.com//item/news_read.naver?article_id=0005382183&office_id=018&code=035720&page=2&sm=title_entity_id.basic,이데일리, 2022.12.07 10:16
29,"
카카오모빌리티, 시그니처 향기 '슬로우 그린' 개발...벤티에 적용
",https://finance.naver.com//item/news_read.naver?article_id=0005382204&office_id=018&code=035720&page=3&sm=title_entity_id.basic,이데일리, 2022.12.07 10:29
30,"
센트온, 카카오모빌리티 시그니처 향기 개발
",https://finance.naver.com//item/news_read.naver?article_id=0005188379&office_id=277&code=035720&page=3&sm=title_entity_id.basic,아시아경제, 2022.12.07 09:38
31,"
카카오 택시 전용 ‘향기’ 나온다
",https://finance.naver.com//item/news_read.naver?article_id=0004130721&office_id=011&code=035720&page=3&sm=title_entity_id.basic,서울경제, 2022.12.07 09:31
32,"
카카오·네이버 ‘먹통 복구’ 시간 차이, 원인은 ‘이중화 조치’ 여부
",https://finance.naver.com//item/news_read.naver?article_id=0000035748&office_id=243&code=035720&page=3&sm=title_entity_id.basic,이코노미스트, 2022.12.07 08:01
33,"
과기정통부, 카카오에 재발방지 요구…""한달 내 제출""
",https://finance.naver.com//item/news_read.naver?article_id=0000012179&office_id=648&code=035720&page=3&sm=title_entity_id.basic,비즈니스워치, 2022.12.06 20:58
34,"
""카카오 장애복구 127시간 걸렸다"" [제2의 카카오 블랙아웃 해법은]
",https://finance.naver.com//item/news_read.naver?article_id=0004938598&office_id=014&code=035720&page=3&sm=title_entity_id.basic,파이낸셜뉴스, 2022.12.06 18:35
35,"
[디지털 재난대응] SK C&C, 카카오, 네이버..1개월 내 개선조...
",https://finance.naver.com//item/news_read.naver?article_id=0004938357&office_id=014&code=035720&page=3&sm=title_entity_id.basic,파이낸셜뉴스, 2022.12.06 14:01
36,"
화재 원인 여전히 미궁… 강제성 없는 행정지도 실효성 글쎄 [제2의 카...
",https://finance.naver.com//item/news_read.naver?article_id=0004938574&office_id=014&code=035720&page=3&sm=title_entity_id.basic,파이낸셜뉴스, 2022.12.06 18:27
37,"
과기정통부 “카카오, ‘먹통 사태’ 개선계획 한달 내 보고하라”
",https://finance.naver.com//item/news_read.naver?article_id=0002074768&office_id=016&code=035720&page=3&sm=title_entity_id.basic,헤럴드경제, 2022.12.06 15:13
38,"
과기정통부 ""카카오 먹통 피해 10만5천건""
",https://finance.naver.com//item/news_read.naver?article_id=0005188038&office_id=277&code=035720&page=3&sm=title_entity_id.basic,아시아경제, 2022.12.06 14:12
