N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
71,SK아이이테크놀로지,"62,600",600,-0.95%,"1,000","44,632","71,298",7.67,"374,396",-92.74,5.57,
72,현대제철,"33,100","1,500",4.75%,"5,000","44,171","133,446",21.96,"598,062",2.71,8.54,
73,코웨이,"58,900","1,200",2.08%,500,"43,468","73,800",61.43,"100,119",9.27,27.41,
74,현대건설,"38,600",50,0.13%,"5,000","42,983","111,356",24.51,"349,779",6.47,5.89,
75,넷마블,"50,000","1,900",-3.66%,100,"42,977","85,954",22.94,"552,224",-14.39,4.29,
76,유한양행,"58,500","1,200",-2.01%,"1,000","42,840","73,231",20,"237,447",58.33,5.45,
77,GS,"45,900",550,1.21%,"5,000","42,648","92,915",25.5,"85,484",1.96,15.55,
78,금호석유,"142,000",0,0.00%,"5,000","41,626","29,314",21.58,"42,761",4.04,47.76,
79,한국타이어앤테크놀로지,"33,300",500,1.52%,500,"41,250","123,875",36.07,"211,075",5.67,7.69,
80,미래에셋증권,"6,460",130,2.05%,"5,000","39,749","615,316",12.79,"635,392",6.9,11.66,
81,삼성카드,"32,500",100,0.31%,"5,000","37,654","115,859",6.35,"64,895",6.43,7.53,
82,SKC,"98,100","7,400",-7.01%,"5,000","37,149","37,868",14.96,"474,076",27.6,11.6,
83,TIGER CD금리투자KIS(합성),"51,570",15,0.03%,0,"36,829","71,416",0,"207,912",N/A,N/A,
84,BGF리테일,"205,000","1,500",0.74%,"1,000","35,432","17,284",32.9,"34,697",18.81,19.61,
85,두산밥캣,"35,300",800,2.32%,500,"35,388","100,249",29.01,"448,313",7.32,9.19,
86,메리츠증권,"5,700",50,-0.87%,"1,000","35,057","615,041",14.69,"1,516,633",4.75,15.77,
87,롯데지주,"32,900",300,0.92%,200,"34,515","104,909",9.82,"177,719",19.7,4.61,
