,제목,링크,정보제공,날짜
28,"
[특징주]카카오페이, 로카모빌리티 인수 검토에 4%대↑
",https://finance.naver.com//item/news_read.naver?article_id=0005380595&office_id=018&code=377300&page=1&sm=title_entity_id.basic,이데일리, 2022.12.05 09:32
29,"
카카오페이손보, 자립준비청년에 '금융안심보험 기부' 협약식
",https://finance.naver.com//item/news_read.naver?article_id=0000035563&office_id=243&code=377300&page=1&sm=title_entity_id.basic,이코노미스트, 2022.12.05 10:06
30,"
카카오페이손보, 함께만드는세상과 업무협약…자립준비청년 지원 확대
",https://finance.naver.com//item/news_read.naver?article_id=0002291938&office_id=123&code=377300&page=1&sm=title_entity_id.basic,조세일보, 2022.12.05 09:46
31,"
카카오페이손보, 자립준비청년 지원 확대한다
",https://finance.naver.com//item/news_read.naver?article_id=0004825380&office_id=008&code=377300&page=1&sm=title_entity_id.basic,머니투데이, 2022.12.05 09:41
32,"
“자립준비청년 돕는다”카카오페이손보, 사회연대은행과 업무협약
",https://finance.naver.com//item/news_read.naver?article_id=0005380570&office_id=018&code=377300&page=1&sm=title_entity_id.basic,이데일리, 2022.12.05 09:21
33,"
카카오페이, 로카모빌리티 인수 검토
",https://finance.naver.com//item/news_read.naver?article_id=0005186597&office_id=277&code=377300&page=1&sm=title_entity_id.basic,아시아경제, 2022.12.02 21:12
34,"
롯데카드, 로카모빌리티 분리매각…카카오페이 등 인수 검토
",https://finance.naver.com//item/news_read.naver?article_id=0004825001&office_id=008&code=377300&page=1&sm=title_entity_id.basic,머니투데이, 2022.12.02 20:24
35,"
로카모빌리티 인수? 카카오페이 ""검토 중이나 결정된 바 없어""
",https://finance.naver.com//item/news_read.naver?article_id=0005379853&office_id=018&code=377300&page=1&sm=title_entity_id.basic,이데일리, 2022.12.02 18:23
36,"
[단독] 카카오페이, 로카모빌리티 인수 추진
",https://finance.naver.com//item/news_read.naver?article_id=0004782957&office_id=015&code=377300&page=1&sm=title_entity_id.basic,한국경제, 2022.12.02 18:21
37,"
[단독] 매물로 나온 로카모빌리티, 카카오페이가 인수추진
",https://finance.naver.com//item/news_read.naver?article_id=0004782811&office_id=015&code=377300&page=1&sm=title_entity_id.basic,한국경제, 2022.12.02 16:24
38,"
카카오페이 “12월 페이스탬프 모으고 기부해요”…최대 2억 조성
",https://finance.naver.com//item/news_read.naver?article_id=0000035500&office_id=243&code=377300&page=1&sm=title_entity_id.basic,이코노미스트, 2022.12.02 17:22
39,"
카카오페이, 연말 기부 캠페인 진행…최대 2억원 소상공인에 기부
",https://finance.naver.com//item/news_read.naver?article_id=0004129272&office_id=011&code=377300&page=1&sm=title_entity_id.basic,서울경제, 2022.12.02 11:26
40,"
카카오페이, 소상공인 위해 연말기부 캠페인 진행
",https://finance.naver.com//item/news_read.naver?article_id=0005186378&office_id=277&code=377300&page=1&sm=title_entity_id.basic,아시아경제, 2022.12.02 11:14
41,"
""카카오페이로 아시아나항공 티켓 사요""
",https://finance.naver.com//item/news_read.naver?article_id=0000063117&office_id=050&code=377300&page=1&sm=title_entity_id.basic,한경비즈니스, 2022.12.01 11:10
42,"
카카오페이 “아시아나항공에서도 됩니다”…최대 10만원 할인
",https://finance.naver.com//item/news_read.naver?article_id=0000035364&office_id=243&code=377300&page=1&sm=title_entity_id.basic,이코노미스트, 2022.12.01 10:16
43,"
카카오페이, 아시아나항공에 결제 서비스 제공
",https://finance.naver.com//item/news_read.naver?article_id=0005185611&office_id=277&code=377300&page=1&sm=title_entity_id.basic,아시아경제, 2022.12.01 09:21
44,"
카카오페이, 아시아나항공 결제 오픈
",https://finance.naver.com//item/news_read.naver?article_id=0004128615&office_id=011&code=377300&page=1&sm=title_entity_id.basic,서울경제, 2022.12.01 09:19
45,"
나스닥 급등에 네이버·카카오 강세…카카오페이 7%↑ [개장시황]
",https://finance.naver.com//item/news_read.naver?article_id=0000035354&office_id=243&code=377300&page=1&sm=title_entity_id.basic,이코노미스트, 2022.12.01 09:19
46,"
카카오페이, ‘계좌지킴이’ 이용 고객에 ‘금융안심보험’ 무료 가입 혜택
",https://finance.naver.com//item/news_read.naver?article_id=0000035230&office_id=243&code=377300&page=2&sm=title_entity_id.basic,이코노미스트, 2022.11.29 17:05
47,"
[1mm금융톡]데이터센터 화재 불똥…규제완화 신청 못한 카카오페이
",https://finance.naver.com//item/news_read.naver?article_id=0005183524&office_id=277&code=377300&page=2&sm=title_entity_id.basic,아시아경제, 2022.11.28 06:10
48,"
카카오페이 “기후 관련 재무정보공개할 것”…핀테크 업계 최초
",https://finance.naver.com//item/news_read.naver?article_id=0005374126&office_id=018&code=377300&page=2&sm=title_entity_id.basic,이데일리, 2022.11.24 15:00
49,"
카카오페이, 내년부터 ESG보고서 발간…기후 관련 재무정보 투명 공개
",https://finance.naver.com//item/news_read.naver?article_id=0000034913&office_id=243&code=377300&page=2&sm=title_entity_id.basic,이코노미스트, 2022.11.24 09:42
50,"
카카오페이, 핀테크 최초 '기후변화 대응 TCFD' 지지 선언
",https://finance.naver.com//item/news_read.naver?article_id=0004821626&office_id=008&code=377300&page=2&sm=title_entity_id.basic,머니투데이, 2022.11.24 09:23
51,"
카카오페이, TCFD 지지 선언...기후변화 대응 강화
",https://finance.naver.com//item/news_read.naver?article_id=0004932878&office_id=014&code=377300&page=2&sm=title_entity_id.basic,파이낸셜뉴스, 2022.11.24 09:22
52,"
네이버·카카오 페이 등 선불충전금, 신탁이나 예치·지급보증해야
",https://finance.naver.com//item/news_read.naver?article_id=0005373250&office_id=018&code=377300&page=2&sm=title_entity_id.basic,이데일리, 2022.11.23 15:24
53,"
카카오페이, 과거 결제 데이터 기반으로 카드 추천
",https://finance.naver.com//item/news_read.naver?article_id=0005048479&office_id=009&code=377300&page=2&sm=title_entity_id.basic,매일경제, 2022.11.21 16:21
54,"
한숨 돌린 카카오페이, ‘잭팟 두근두근’ LG엔솔 우리사주
",https://finance.naver.com//item/news_read.naver?article_id=0005370934&office_id=018&code=377300&page=2&sm=title_entity_id.basic,이데일리, 2022.11.21 05:03
55,"
아이허브·카카오페이, 블랙프라이데이 15% 세일 행사
",https://finance.naver.com//item/news_read.naver?article_id=0004123909&office_id=011&code=377300&page=2&sm=title_entity_id.basic,서울경제, 2022.11.18 16:00
