,제목,링크,정보제공,날짜
27,"
카카오뱅크 주담대 출시 10개월만에 잔액 1兆 돌파
",https://finance.naver.com//item/news_read.naver?article_id=0005188361&office_id=277&code=323410&page=2&sm=title_entity_id.basic,아시아경제, 2022.12.07 09:25
28,"
ATM 수수료 ‘0원’…카뱅·케뱅·토뱅 ‘손해 정책’ 언제까지 이어질까
",https://finance.naver.com//item/news_read.naver?article_id=0000035732&office_id=243&code=323410&page=2&sm=title_entity_id.basic,이코노미스트, 2022.12.06 17:08
29,"
""스마트폰에 카드 찍으면 티머니 충전"" 카카오뱅크 미니, 티머니 충전 ...
",https://finance.naver.com//item/news_read.naver?article_id=0004784143&office_id=015&code=323410&page=2&sm=title_entity_id.basic,한국경제, 2022.12.06 17:06
30,"
카카오뱅크, ‘mini 티머니 충전’ 서비스 출시
",https://finance.naver.com//item/news_read.naver?article_id=0000860183&office_id=366&code=323410&page=2&sm=title_entity_id.basic,조선비즈, 2022.12.06 12:03
31,"
카카오뱅크, mini 티머니 충전 서비스 출시
",https://finance.naver.com//item/news_read.naver?article_id=0004130386&office_id=011&code=323410&page=2&sm=title_entity_id.basic,서울경제, 2022.12.06 11:43
32,"
“휴대폰으로 티머니 충전”…카카오뱅크 ‘티머니 충전 서비스’ 출시
",https://finance.naver.com//item/news_read.naver?article_id=0002074489&office_id=016&code=323410&page=2&sm=title_entity_id.basic,헤럴드경제, 2022.12.06 09:58
33,"
‘카카오뱅크 미니’에서 티머니 충전 된다…NFC 태그하면 끝
",https://finance.naver.com//item/news_read.naver?article_id=0000035659&office_id=243&code=323410&page=2&sm=title_entity_id.basic,이코노미스트, 2022.12.06 09:33
34,"
카카오뱅크 mini 티머니 충전 서비스 출시
",https://finance.naver.com//item/news_read.naver?article_id=0005187783&office_id=277&code=323410&page=2&sm=title_entity_id.basic,아시아경제, 2022.12.06 09:22
35,"
코인원, 카카오뱅크와 손잡은 뒤 신규 가입자 2.7배 늘었다
",https://finance.naver.com//item/news_read.naver?article_id=0000035650&office_id=243&code=323410&page=2&sm=title_entity_id.basic,이코노미스트, 2022.12.06 08:39
36,"
몸집 불리는 한투증권 “계열사 보유 카뱅지분 인수 추진”
",https://finance.naver.com//item/news_read.naver?article_id=0000860021&office_id=366&code=323410&page=2&sm=title_entity_id.basic,조선비즈, 2022.12.05 18:58
37,"
한국투자증권 ""계열사 보유 카뱅 지분 인수 추진 중""
",https://finance.naver.com//item/news_read.naver?article_id=0005381110&office_id=018&code=323410&page=2&sm=title_entity_id.basic,이데일리, 2022.12.05 17:47
38,"
한투증권 ""계열사 보유 카뱅지분 인수""… 자기자본 9조 눈앞
",https://finance.naver.com//item/news_read.naver?article_id=0005055628&office_id=009&code=323410&page=2&sm=title_entity_id.basic,매일경제, 2022.12.05 17:15
39,"
한국투자증권 “카카오뱅크 지분 매수, 결정된 바 없어”
",https://finance.naver.com//item/news_read.naver?article_id=0000035610&office_id=243&code=323410&page=2&sm=title_entity_id.basic,이코노미스트, 2022.12.05 15:36
40,"
한국투자증권 ""카뱅 지분 매수, 일정·규모 미확정""[주목 e공시]
",https://finance.naver.com//item/news_read.naver?article_id=0004783428&office_id=015&code=323410&page=2&sm=title_entity_id.basic,한국경제, 2022.12.05 10:14
41,"
카카오뱅크 ""모든 자산 연결"" 홈화면·오픈뱅킹 개편
",https://finance.naver.com//item/news_read.naver?article_id=0004825635&office_id=008&code=323410&page=2&sm=title_entity_id.basic,머니투데이, 2022.12.05 17:18
42,"
카카오뱅크, 모바입 앱 홈 화면·오픈뱅킹 서비스 개편
",https://finance.naver.com//item/news_read.naver?article_id=0000859892&office_id=366&code=323410&page=2&sm=title_entity_id.basic,조선비즈, 2022.12.05 11:38
43,"
카카오뱅크, 모바입 앱 홈 화면·오픈뱅킹 서비스 개편
",https://finance.naver.com//item/news_read.naver?article_id=0000035571&office_id=243&code=323410&page=2&sm=title_entity_id.basic,이코노미스트, 2022.12.05 10:33
44,"
카카오뱅크, 오픈뱅킹 서비스 개편
",https://finance.naver.com//item/news_read.naver?article_id=0002073941&office_id=016&code=323410&page=2&sm=title_entity_id.basic,헤럴드경제, 2022.12.05 10:29
45,"
카카오뱅크, 모바일 앱 홈 화면 및 오픈뱅킹 서비스 개편
",https://finance.naver.com//item/news_read.naver?article_id=0005187206&office_id=277&code=323410&page=2&sm=title_entity_id.basic,아시아경제, 2022.12.05 10:12
46,"
카카오뱅크, 홈 화면·오픈뱅킹 개선…“모든 계좌 한눈에 관리”
",https://finance.naver.com//item/news_read.naver?article_id=0005380634&office_id=018&code=323410&page=2&sm=title_entity_id.basic,이데일리, 2022.12.05 09:56
47,"
사장님에게 진심인 카카오뱅크…‘개인사업자 뱅킹’ 13만명 돌파
",https://finance.naver.com//item/news_read.naver?article_id=0000078675&office_id=024&code=323410&page=2&sm=title_entity_id.basic,매경이코노미, 2022.12.04 22:07
