,제목,링크,정보제공,날짜
27,"
“카카오게임즈, 주력 게임 동반 부진...4분기 실적도 흐림”
",https://finance.naver.com//item/news_read.naver?article_id=0005039544&office_id=009&code=293490&page=3&sm=title_entity_id.basic,매일경제, 2022.11.03 08:59
28,"
NH證 “카카오게임즈, 우마메스메 매출 크게 줄어” 목표주가 5만 원 ...
",https://finance.naver.com//item/news_read.naver?article_id=0004117780&office_id=011&code=293490&page=3&sm=title_entity_id.basic,서울경제, 2022.11.03 08:49
29,"
카카오게임즈, 운영 삐끗했으나 신작 라인업 ‘굿’… 목표가↓-NH
",https://finance.naver.com//item/news_read.naver?article_id=0005357054&office_id=018&code=293490&page=3&sm=title_entity_id.basic,이데일리, 2022.11.03 07:55
30,"
카카오게임즈 3분기 '어닝쇼크'…내년 1분기에 주가 달렸다-한화
",https://finance.naver.com//item/news_read.naver?article_id=0004813536&office_id=008&code=293490&page=3&sm=title_entity_id.basic,머니투데이, 2022.11.03 08:39
31,"
한화투자증권 “카카오게임즈, 오딘·우마무스메 매출 감소 빨라… 목표가...
",https://finance.naver.com//item/news_read.naver?article_id=0000852124&office_id=366&code=293490&page=3&sm=title_entity_id.basic,조선비즈, 2022.11.03 08:24
32,"
[클릭 e종목]""카카오게임즈, 매력도 하락 반전카드 필요해…목표가 ↓""
",https://finance.naver.com//item/news_read.naver?article_id=0005171597&office_id=277&code=293490&page=3&sm=title_entity_id.basic,아시아경제, 2022.11.03 08:36
33,"
카카오게임즈, 내년도 모바일 부진 예상…목표가 15%↓-메리츠
",https://finance.naver.com//item/news_read.naver?article_id=0005357056&office_id=018&code=293490&page=3&sm=title_entity_id.basic,이데일리, 2022.11.03 07:56
34,"
카카오게임즈, 실적 바닥 확인…목표가는 21%↓-하나
",https://finance.naver.com//item/news_read.naver?article_id=0005357047&office_id=018&code=293490&page=3&sm=title_entity_id.basic,이데일리, 2022.11.03 07:44
35,"
카카오게임즈, 3분기 실적·투자심리 바닥 확인-하나증권
",https://finance.naver.com//item/news_read.naver?article_id=0004813514&office_id=008&code=293490&page=3&sm=title_entity_id.basic,머니투데이, 2022.11.03 07:38
36,"
카카오게임즈, 목표주가 9.5만→5.5만-하나
",https://finance.naver.com//item/news_read.naver?article_id=0004922588&office_id=014&code=293490&page=3&sm=title_entity_id.basic,파이낸셜뉴스, 2022.11.03 05:36
37,"
""카카오게임즈 목표가 7만→5만원…내년 신작 모멘텀은 유효""-대신
",https://finance.naver.com//item/news_read.naver?article_id=0004770551&office_id=015&code=293490&page=4&sm=title_entity_id.basic,한국경제, 2022.11.03 07:17
